"NRO","Situação do parto","Bezerro deste parto","Tipo de prenhez","ECC","Multiparidade","IPC (mês)","PS (mês)","IEP (mês)","Nº SC","PA (kg/L/lactação)","PMD (kg/L/dia)","PLMD (4%G) (kg/L/dias)","DEL (dias)","PAT (kg/L/lactação)","PMDT (kg/L/dia)","DELA (dias)","GORD (%)","PROT (%)","LACT (%)","ST (%)","ES (%)","CCS 1000x células/ml","ECS","Data do parto","Estações do ano","ITU","Temp (ºC)","UR (%)","Precipitação (mm)"
"1","0004X","Ajudado posicionado","Fêmea","TE/FIV",3.5,"terceira",NA,NA,26.6,7,825.024,23.572,NA,35.0001696928559,56857.716,21.693,2621.0167335085,NA,NA,NA,NA,NA,NA,NA,2013-09-10,"inverno",69.3850446228299,23.1852083333333,50.5039583333333,0
"2","0011X","Ajudado posicionado","Macho","TE/FIV",4,"quarta",0.966666666666667,1.43333333333333,17.2,6,824.29,9.931,NA,83.0017118114993,40756.674,21.462,1899.0156555773,NA,NA,NA,NA,NA,NA,NA,2013-02-09,"verão",70.298804375,22.1525,79.675,0
"3","0024X","Normal","Macho","TE/FIV",3.5,"quinta",2.13333333333333,2.76666666666667,20.1,6,3046.213,29.574,NA,103.003077027118,43477.324,21.652,2008.00498799187,NA,NA,NA,NA,NA,NA,NA,2013-12-18,"primavera",71.51170028125,23.75375,65.3075,2.97916666666667
"4","0042X","Normal","Fêmea","TE/FIV",3,"sexta",NA,NA,17.4,6,NA,NA,NA,NA,52597.463,25.91,2030.00629100733,NA,NA,NA,NA,NA,NA,NA,2013-12-28,"verão",74.5143535546875,25.080625,75.36875,0
"5","0061X","Ajudado posicionado","Natimorto","IA",3,"sexta",4.2,4.2,15.5,3,3679.795,28.748,NA,128.001774036455,50108.781,21.425,2338.79957992999,NA,NA,NA,NA,NA,NA,NA,2014-03-02,"verão",72.6590575173611,23.6839583333333,78.7583333333333,0.458333333333333
"6","0062X","Normal","aborto","TE/FIV",3.5,"sexta",NA,NA,18.1,7,14822.903,29.41,NA,504.008942536552,58611.275,29.438,1991.00737142469,NA,NA,NA,NA,NA,NA,NA,2014-02-17,"verão",71.8535828567708,23.1795833333333,78.704375,0.0625
"7","0063X","Normal","Macho","TE/FIV",3.5,"quinta",NA,NA,20.4,9,2151.731,30.306,NA,71.0001649838316,60807.036,28.832,2109.01206992231,NA,NA,NA,NA,NA,NA,NA,2013-11-26,"primavera",71.4855198094618,23.0827083333333,76.2360416666667,0
"8","0066X","Normal","Macho","IA",3.5,"quinta",NA,NA,11.4,1,928.684,22.65,NA,41.0015011037528,60166.023,32.985,1824.04192814916,NA,NA,NA,NA,NA,NA,NA,2013-03-27,"outono",70.7735708359375,22.555625,77.60375,0
"9","0075X","Normal","Macho","IA",NA,"sexta",2.86666666666667,2.86666666666667,NA,1,3687.116,36.871,NA,100.000433945377,61658.363,34.216,1802.03305471125,NA,NA,NA,NA,NA,NA,NA,2013-03-30,"outono",70.0760575798611,22.3810416666667,72.3116666666667,0
"10","0083X","Ajudado difícil","Macho","TE/FIV",3,"quarta",NA,NA,21.6,8,NA,NA,NA,NA,62785.523,28.96,2168.00839088398,NA,NA,NA,NA,NA,NA,NA,2014-02-22,"verão",72.6417897291667,24.086875,71.9766666666667,0
"11","0084X","Ajudado difícil","aborto","TE/FIV",3.5,"terceira",2.83333333333333,8.23333333333333,38.9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-01,"outono",62.34,17,90,0
"12","0084X","Ajudado difícil","Fêmea","TE/FIV",3,"quarta",3,3,17.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-12,"primavera",71.3187276475694,23.4697916666667,67.7291666666667,0
"13","0093X","Normal","Fêmea","TE/FIV",3.5,"quarta",1.4,10.4666666666667,15.7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-19,"verão",70.298804375,22.1525,79.675,0
"14","0093X","Ajudado posicionado","aborto","TE/FIV",3,"quinta",NA,NA,15.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-14,"outono",66.9493184973958,20.5179166666667,67.588125,0
